charger_name,street,zipcode,ports
GARDEN STATE DCFAST HOG,1775 NJ-10,07950,1
Wawa - Tesla Supercharger,350 New Road,07054,8
"Lener Denville Square (Denville, NJ)",28 West Main Street,07834,4
Boonton ACME Shopping Center - Tesla Supercharger,550 Myrtle Avenue,07005,10
Rockaway Town Plaza - Tesla Supercharger,395 Mount Hope Avenue,07866,12
Holiday Inn - Budd Lake,1000 International Dr,07828,1
Columbia NJ Shell,25 US-46,07832,2
Delaware Water Gap Travel Plaza - Tesla Supercharger,19 Simpson Road,07832,8
MB OF NEWTON FAST CHARGER,92 Hampton House Rd,07860,1
Wawa - Tesla Supercharger,1 NJ-15,07822,8
FSHYUNDAI PUBLIC LEVEL 3,500 NJ 23,07461,1
Station Plaza Parking Garage,50 Yard Ave,8609,7
Firehouse Lot 3,1st St & Sloan St,7079,3
